<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20190103,11:00:00,186.3700000,188.9500000,186.0000000,188.5200000,7183730
SBER,60,20190103,12:00:00,188.6000000,191.5000000,188.5600000,190.2900000,10273110
SBER,60,20190103,13:00:00,190.3100000,190.9600000,189.1100000,189.4400000,4346630
SBER,60,20190103,14:00:00,189.4800000,189.8700000,189.1100000,189.6700000,1751990
SBER,60,20190103,15:00:00,189.6100000,190.1000000,189.1100000,189.7000000,1680870
SBER,60,20190103,16:00:00,189.7000000,189.9300000,188.8700000,188.9900000,1849420
SBER,60,20190103,17:00:00,189.0000000,189.9900000,188.6300000,189.7100000,2168540
SBER,60,20190103,18:00:00,189.7700000,189.9000000,188.2600000,188.5400000,3616300
SBER,60,20190103,19:00:00,188.5400000,188.5400000,186.7500000,186.9900000,7235190
SBER,60,20190104,11:00:00,187.9900000,189.2000000,187.7700000,188.5800000,5274100
SBER,60,20190104,12:00:00,188.5800000,189.8700000,188.3000000,189.7900000,4991080
SBER,60,20190104,13:00:00,189.7600000,190.1900000,189.0100000,189.6500000,3411900
SBER,60,20190104,14:00:00,189.7000000,190.0200000,189.1100000,189.4500000,1682340
SBER,60,20190104,15:00:00,189.4800000,189.6800000,189.1200000,189.4000000,1493440
SBER,60,20190104,16:00:00,189.4000000,190.0600000,189.3000000,190.0600000,2089760
SBER,60,20190104,17:00:00,190.0600000,190.3500000,189.5000000,190.0600000,3875650
SBER,60,20190104,18:00:00,190.0800000,190.3400000,189.6900000,190.0500000,2591840
SBER,60,20190104,19:00:00,190.0500000,190.9900000,189.6100000,190.9900000,7126980
SBER,60,20190108,11:00:00,191.6600000,193.1800000,191.6400000,192.1100000,6713310
SBER,60,20190108,12:00:00,192.1800000,192.5400000,190.6800000,190.7000000,7133450
SBER,60,20190108,13:00:00,190.7200000,191.7300000,190.6200000,190.9300000,3517820
SBER,60,20190108,14:00:00,190.9600000,191.8900000,190.8400000,191.7000000,3335610
SBER,60,20190108,15:00:00,191.7000000,191.8200000,191.0000000,191.1500000,2482260
SBER,60,20190108,16:00:00,191.1300000,191.4900000,190.7100000,191.3100000,2797660
SBER,60,20190108,17:00:00,191.2900000,191.4500000,190.9600000,191.2400000,1293430
SBER,60,20190108,18:00:00,191.2100000,191.4800000,190.7400000,190.9400000,4535080
SBER,60,20190108,19:00:00,190.9300000,191.3800000,190.3700000,191.2400000,6773330
SBER,60,20190109,11:00:00,192.7100000,193.4400000,192.1000000,193.2800000,7525620
