<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,60,20190101,010000,69.3446000,69.7164000,69.2695000,69.3370000,599
USDRUB,60,20190101,020000,69.3545000,69.7714000,69.2544000,69.4799000,763
USDRUB,60,20190101,030000,69.4974000,69.7218000,69.1417000,69.6929000,849
USDRUB,60,20190101,040000,69.6854000,69.7185000,69.1495000,69.2249000,1027
USDRUB,60,20190101,050000,69.2424000,69.4991000,69.1250000,69.4991000,22
USDRUB,60,20190101,060000,69.4991000,69.4991000,69.4769000,69.4769000,12
USDRUB,60,20190101,070000,69.4765000,69.6990000,69.4765000,69.6990000,12
USDRUB,60,20190101,080000,69.6990000,69.7108000,69.5112000,69.5112000,18
USDRUB,60,20190101,090000,69.5112000,69.9710000,69.5112000,69.9710000,13
USDRUB,60,20190101,100000,69.9710000,69.9710000,69.6297000,69.6297000,12
USDRUB,60,20190101,110000,69.6297000,69.6297000,69.6297000,69.6297000,12
USDRUB,60,20190101,120000,69.6297000,69.7125000,69.6297000,69.7125000,12
USDRUB,60,20190101,130000,69.7125000,69.7125000,69.6259000,69.6259000,30
USDRUB,60,20190101,140000,69.7100000,69.9650000,69.4292000,69.7010000,32
USDRUB,60,20190101,150000,69.7100000,69.7152000,69.6775000,69.6806000,31
USDRUB,60,20190101,160000,69.7100000,69.7100000,69.6472000,69.6775000,33
USDRUB,60,20190101,170000,69.7100000,69.7100000,69.5865000,69.6775000,31
USDRUB,60,20190101,180000,69.7100000,69.7100000,69.5684000,69.6775000,31
USDRUB,60,20190101,190000,69.7100000,69.7100000,69.5048000,69.6775000,31
USDRUB,60,20190101,200000,69.7100000,69.7100000,69.3658000,69.6775000,31
USDRUB,60,20190101,210000,69.7100000,69.7100000,69.2339000,69.6775000,32
USDRUB,60,20190101,220000,69.7100000,69.7100000,69.2339000,69.6775000,30
USDRUB,60,20190101,230000,69.7100000,69.7100000,69.7045000,69.7045000,12
USDRUB,60,20190102,000000,69.7045000,69.7045000,69.6985000,69.7045000,18
USDRUB,60,20190102,010000,69.7045000,69.7045000,69.1938000,69.2388000,16
USDRUB,60,20190102,020000,69.7045000,69.7045000,69.1477000,69.7045000,18
USDRUB,60,20190102,030000,69.7045000,69.7045000,69.6990000,69.7045000,12
USDRUB,60,20190102,040000,69.7045000,69.7045000,68.9286000,68.9286000,15
USDRUB,60,20190102,050000,68.9386000,69.7478000,68.9386000,69.4181000,732
